"Adress" "lat" "long"
"1" "Bandel" 22.9226381 88.3877415
"2" "Phool Bagan, Kankurgachi" NA NA
"3" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"4" "Dumdum Park" 22.6579822 88.4118164358025
"5" "South Dum Dum" -28.3816667 153.3594444
"6" "Thakurpukur" 22.4589862 88.307805
"7" "Malancha" 25.3607822 88.6026522
"8" "Malancha" 25.3607822 88.6026522
"9" "Palm Avenue Kolkata, Ballygunge" NA NA
"10" "Natunhat" 23.12644025 89.140744191536
"11" "Action Area 1, Rajarhat Newtown" NA NA
"12" "Keshtopur" 22.59781745 88.4270025129803
"13" "Tarulia, Keshtopur" NA NA
"14" "Dum Dum Metro" 22.64539635 88.4370975725473
"15" "Paschim Barisha" 22.4696994 88.3088144
"16" "New Town Action Area 1" NA NA
"17" "Barasat" 22.7191072 88.4826229
"18" "Behala" 22.4976756 88.3176763
"19" "Behala Chowrasta" 22.4873492 88.3133627
"20" "Behala" 22.4976756 88.3176763
"21" "Santoshpur" 22.5240566 88.2710655
"22" "Garia Station, Garia" 22.4666866 88.39962985
"23" "Garia Station, Garia" 22.4666866 88.39962985
"24" "Joka" 33.6306299 114.6423617
"25" "Sreebhumi" 22.7989026 88.3778104
"26" "Rajarhat" 22.6310615 88.4843003
"27" "Dum Dum" 22.6520597 88.4360417
"28" "Kodalia, Hooghly-Chinsurah" NA NA
"29" "Baguiati" 22.609668 88.4276832
"30" "Rabindra Sarobar Area, Dhakuria" 22.5116357 88.3522502143019
"31" "Baghajatin" 22.4839937 88.3755826
"32" "Project Kaikhali, Vip Road" NA NA
"33" "Vip Road" 35.3303734 -80.7131208
"34" "Baruipur" 22.3436457 88.4896097147604
"35" "Dumdum Park" 22.6579822 88.4118164358025
"36" "Sreebhumi" 22.7989026 88.3778104
"37" "Shyam Bazar" 22.5979916 88.3694857
"38" "Birati" 22.6632119 88.4271269
"39" "Bansdroni" 22.474604 88.3609589
"40" "Jadavpur University" 22.5611537 88.4131019353334
"41" "Birati" 22.6632119 88.4271269
"42" "Bhadrakali" 27.2869794 85.9129030990368
"43" "Behala" 22.4976756 88.3176763
"44" "Baruipur" 22.3436457 88.4896097147604
"45" "Ballygunge" 22.5204877 88.3721746
"46" "Kalikapur" 22.412052 88.4760309
"47" "Behala" 22.4976756 88.3176763
"48" "Baishnabghata Patuli Township, Patuli" NA NA
"49" "Behala" 22.4976756 88.3176763
"50" "Bansdroni" 22.474604 88.3609589
"51" "Salt Lake City" 40.7596198 -111.8867975
"52" "New Town" 55.9554575 -3.1989995
"53" "Baruipur" 22.3436457 88.4896097147604
"54" "Bansdroni" 22.474604 88.3609589
"55" "Pancha Sayar" NA NA
"56" "Behala" 22.4976756 88.3176763
"57" "Hooghly-Chinsurah" 22.9052114 88.3760639
"58" "Hooghly-Chinsurah" 22.9052114 88.3760639
"59" "Amtala, Diamond Harbour Road" 22.3658439 88.2719809
"60" "Shrachi Village, Madhyam Gram" NA NA
"61" "Kasba" 25.8779519 87.5469272217681
"62" "VIP Road Haldiram" NA NA
"63" "Sarsuna" 22.4780444 88.2910436
"64" "Naihati" 22.8886213 88.4239345
"65" "Baksara" 50.2099758 87.2003777
"66" "Naihati" 22.8886213 88.4239345
"67" "Kasba" 25.8779519 87.5469272217681
"68" "Amtala, Diamond Harbour Road" 22.3658439 88.2719809
"69" "Chak Thakurani, Thakurpukur" NA NA
"70" "Jadavpur" 22.502513 88.3676051
"71" "Jadavpur" 22.502513 88.3676051
"72" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"73" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"74" "Bandel" 22.9226381 88.3877415
"75" "Beliaghata" 22.5645667 88.3984066637133
"76" "Magnolia Prestige, Rajarhat" NA NA
"77" "Baishnabghata Patuli Township, Patuli" NA NA
"78" "Dum Dum Heights, Jessore Road" NA NA
"79" "Sonarpur" 22.4441922 88.4326763062602
"80" "Lake Town" 22.6057276 88.4029611
"81" "Belghoria" 22.6523393 88.4287029
"82" "Rabindra Pally, Keshtopur" NA NA
"83" "shukhobrishti" NA NA
"84" "Sonarpur" 22.4441922 88.4326763062602
"85" "Baishnavghata patuli , house number s-300 Kolkata 700094" NA NA
"86" "Kasba" 25.8779519 87.5469272217681
"87" "Dum Dum Metro" 22.64539635 88.4370975725473
"88" "Hazra, Kalighat" 22.5168752 88.3458448
"89" "Ajoy Nagar" NA NA
"90" "Kasba -East" 22.512066 88.3857547
"91" "Salt Lake City" 40.7596198 -111.8867975
"92" "Baghajatin" 22.4839937 88.3755826
"93" "Behala" 22.4976756 88.3176763
"94" "New Garia, Garia" 22.4727076 88.3977962
"95" "Anandapur" 21.33341315 86.0872147362799
"96" "Dum Dum Metro" 22.64539635 88.4370975725473
"97" "Boral" -27.58168805 151.918431022637
"98" "Rabindra Pally, Keshtopur" NA NA
"99" "Bagbazar" 28.1460181 82.7187801
"100" "Salt Lake City Sector 1" 22.5905449 88.4116000916439
"101" "Salt Lake City Sector 2" 22.57879575 88.417905305935
"102" "Salt Lake City Sector 3" 22.5788222 88.41778335
"103" "Ajoy Nagar" NA NA
"104" "Action Area 1, Rajarhat Newtown" NA NA
"105" "Avenue S, Santoshpur" 22.4940068 88.3780199
"106" "Pratiraksha Nagar" NA NA
"107" "Kudghat, Ashok Nagar" 22.4825494 88.3257073
"108" "Sakher Bazar, Purba Barisha" NA NA
"109" "Purbasan, Thakurpukur" NA NA
